I,O,R,W,Econ,Avg,SR,4W,5W,4s,6s,Dots,Training module
1,4.3,22,0,4.89,0,0,0,0,3,0,15,Tactics and Strategy
7,51.3,296,6,5.75,49.33,51.5,0,0,26,4,147,Technical Skills
5,43.3,310,6,7.13,51.67,43.5,0,0,39,8,140,Technical Skills
1,10,37,2,3.7,18.5,30,0,0,4,0,38,Tactics and Strategy
3,29,167,2,5.76,83.5,87,0,0,11,5,93,Technical Skills
8,48,262,4,5.46,65.5,72,0,0,26,3,141,Tactics and Strategy
2,20,73,5,3.65,14.6,24,0,0,7,2,85,Tactics and Strategy
1,3,29,0,9.67,0,0,0,0,2,1,5,Technical Skills
6,36,157,8,4.36,19.62,27,1,0,13,4,131,Tactics and Strategy
5,39,188,2,4.82,94,117,0,0,14,1,106,Tactics and Strategy
21,191.5,847,40,4.42,21.18,28.78,4,1,65,11,619,Technical Skills
2,10,79,0,7.9,0,0,0,0,5,3,18,Technical Skills
5,42,171,4,4.07,42.75,63,0,0,12,2,147,Tactics and Strategy
11,91.1,369,16,4.05,23.06,34.19,2,0,31,5,367,Wicket-taking and Attack
3,13,90,2,6.92,45,39,0,0,16,0,45,Technical Skills
3,9.5,58,0,5.9,0,0,0,0,3,0,19,Technical Skills
11,100.5,461,20,4.57,23.05,30.25,0,0,38,9,371,Wicket-taking and Attack
3,23,111,5,4.83,22.2,27.6,1,0,7,6,84,Tactics and Strategy
1,3,24,0,8,0,0,0,0,4,0,7,Technical Skills
5,14.1,81,1,5.72,81,85,0,0,11,0,52,Technical Skills
1,7,50,1,7.14,50,42,0,0,5,0,19,Technical Skills
23,182.2,768,36,4.21,21.33,30.39,2,0,74,12,703,Technical Skills
12,69,449,17,6.51,26.41,24.35,0,1,40,14,204,Technical Skills
9,29.1,178,4,6.1,44.5,43.75,0,0,9,5,62,Technical Skills
14,121.3,634,23,5.22,27.57,31.7,0,0,61,12,427,Technical Skills
13,79.2,410,11,5.17,37.27,43.27,0,0,46,5,304,Technical Skills
5,38.2,168,7,4.38,24,32.86,1,0,11,0,115,Tactics and Strategy
14,95,580,14,6.11,41.43,40.71,1,0,58,11,304,Technical Skills
6,50,311,15,6.22,20.73,20,1,0,37,5,167,Technical Skills
22,132,587,13,4.45,45.15,60.92,0,0,53,3,445,Technical Skills
20,175.5,744,38,4.23,19.58,27.76,2,0,74,7,666,Technical Skills
4,31,154,0,4.97,0,0,0,0,13,2,94,Tactics and Strategy
7,61.5,278,5,4.5,55.6,74.2,0,0,19,2,184,Tactics and Strategy
3,22,131,0,5.95,0,0,0,0,9,5,69,Technical Skills
1,8,16,2,2,8,24,0,0,1,0,41,Tactics and Strategy
8,49,280,5,5.71,56,58.8,0,0,21,4,145,Technical Skills
1,10,60,1,6,60,60,0,0,7,0,27,Technical Skills
25,208.5,1081,27,5.18,40.04,46.41,2,0,120,8,745,Technical Skills
14,106,514,17,4.85,30.24,37.41,0,0,36,7,327,Tactics and Strategy
5,13,65,2,5,32.5,39,0,0,4,3,46,Tactics and Strategy
4,30,98,8,3.27,12.25,22.5,0,0,12,0,133,Tactics and Strategy
1,7,53,2,7.57,26.5,21,0,0,7,0,17,Technical Skills
15,119.1,694,17,5.82,40.82,42.06,1,0,72,16,402,Technical Skills
3,28,150,2,5.36,75,84,0,0,16,1,91,Tactics and Strategy
5,44.1,227,9,5.14,25.22,29.44,0,1,25,2,152,Tactics and Strategy
15,61,348,9,5.7,38.67,40.67,0,0,25,8,169,Technical Skills
6,41.5,197,10,4.71,19.7,25.1,0,0,18,1,146,Tactics and Strategy
16,135.5,625,22,4.6,28.41,37.05,1,0,67,9,502,Technical Skills
6,54.2,245,7,4.51,35,46.57,0,0,13,4,163,Tactics and Strategy
3,10,69,0,6.9,0,0,0,0,8,0,30,Technical Skills
17,150.5,761,24,5.05,31.71,37.71,0,0,79,16,544,Technical Skills
10,89,370,15,4.16,24.67,35.6,1,0,24,12,321,Tactics and Strategy
6,34.5,177,2,5.08,88.5,104.5,0,0,12,0,91,Tactics and Strategy
3,23,139,3,6.04,46.33,46,0,0,11,2,100,Technical Skills
13,101,466,20,4.61,23.3,30.3,0,1,55,3,383,Technical Skills
1,8,59,1,7.38,59,48,0,0,10,0,24,Technical Skills
4,26.4,106,6,3.98,17.67,26.67,0,0,12,1,111,Tactics and Strategy
1,1,8,0,8,0,0,0,0,2,0,4,Technical Skills
4,32,153,6,4.78,25.5,32,0,0,15,2,116,Tactics and Strategy
4,28.2,156,2,5.51,78,85,0,0,20,0,96,Technical Skills
2,7,52,0,7.43,0,0,0,0,2,2,7,Technical Skills
1,1,10,0,10,0,0,0,0,1,0,1,Technical Skills
4,31,130,9,4.19,14.44,20.67,1,0,18,0,125,Tactics and Strategy
2,7.5,58,0,7.4,0,0,0,0,4,2,14,Technical Skills
16,84.5,623,13,7.34,47.92,39.15,1,0,67,17,235,Technical Skills
3,6,34,0,5.67,0,0,0,0,3,1,20,Technical Skills
11,75.2,355,9,4.71,39.44,50.22,0,0,42,4,282,Tactics and Strategy
3,11,51,0,4.64,0,0,0,0,4,1,36,Tactics and Strategy
4,25,177,1,7.08,177,150,0,0,13,4,53,Technical Skills
6,22,106,2,4.82,53,66,0,0,6,0,56,Tactics and Strategy
1,10,58,2,5.8,29,30,0,0,4,2,30,Technical Skills
18,162.1,760,21,4.69,36.19,46.33,0,0,42,19,490,Technical Skills
2,17.4,109,5,6.17,21.8,21.2,0,0,12,2,54,Technical Skills
4,25,137,5,5.48,27.4,30,1,0,11,1,75,Tactics and Strategy
12,93.3,566,17,6.05,33.29,33,0,0,59,18,326,Technical Skills
1,8.4,56,2,6.46,28,26,0,0,7,2,33,Technical Skills
10,79,432,15,5.47,28.8,31.6,0,0,35,7,241,Tactics and Strategy
16,137.4,710,31,5.16,22.9,26.65,1,0,82,12,495,Technical Skills
6,55,297,6,5.4,49.5,55,0,0,26,4,171,Tactics and Strategy
1,5.2,24,1,4.5,24,32,0,0,2,0,16,Tactics and Strategy
2,8,35,0,4.38,0,0,0,0,3,0,26,Tactics and Strategy
1,5,14,3,2.8,4.67,10,0,0,3,0,26,Tactics and Strategy
1,1,12,0,12,0,0,0,0,2,0,0,Technical Skills
2,10,77,1,7.7,77,60,0,0,9,3,30,Technical Skills
2,11.5,88,1,7.44,88,71,0,0,5,0,17,Technical Skills
3,7,81,1,11.57,81,42,0,0,6,5,15,Technical Skills
1,3,12,0,4,0,0,0,0,0,0,8,Tactics and Strategy
6,29,158,3,5.45,52.67,58,0,0,14,2,80,Tactics and Strategy
8,70.5,476,12,6.72,39.67,35.42,1,0,50,14,224,Technical Skills
6,49.1,192,5,3.91,38.4,59,0,0,12,4,196,Tactics and Strategy
9,69.1,450,17,6.51,26.47,24.41,0,0,59,10,262,Technical Skills
14,108.3,506,26,4.66,19.46,25.04,0,0,64,5,423,Technical Skills
28,243.2,961,55,3.95,17.47,26.55,4,0,46,19,864,Technical Skills
13,115.1,469,16,4.07,29.31,43.19,1,0,51,5,459,Technical Skills
2,19,185,2,9.74,92.5,57,0,0,18,3,36,Technical Skills
8,71.2,382,6,5.36,63.67,71.33,0,0,29,5,207,Tactics and Strategy
3,20,76,2,3.8,38,60,0,0,9,0,84,Tactics and Strategy
2,7.2,70,0,9.55,0,0,0,0,4,4,12,Technical Skills
28,243.1,1254,65,5.16,19.29,22.45,3,3,124,23,875,Technical Skills
9,62,264,7,4.26,37.71,53.14,0,0,31,4,251,Tactics and Strategy
17,143.4,812,24,5.65,33.83,35.92,0,0,81,11,431,Technical Skills
2,16,94,0,5.88,0,0,0,0,5,3,40,Technical Skills
3,24,149,6,6.21,24.83,24,1,0,16,2,69,Technical Skills
11,51,293,4,5.75,73.25,76.5,0,0,23,3,123,Technical Skills
6,42.1,206,5,4.89,41.2,50.6,0,0,26,4,170,Tactics and Strategy
24,187.2,1010,19,5.39,53.16,59.16,1,0,108,14,656,Technical Skills
