I,O,R,W,Econ,Avg,SR,4W,5W,4s,6s,Dots,Training module
1,2,17,0,8.5,0,0,0,0,1,1,4,Technical Skills
1,10,80,3,8,26.67,20,0,0,8,4,27,Technical Skills
5,24.5,161,2,6.48,80.5,74.5,0,0,22,3,83,Technical Skills
13,106,630,14,5.94,45,45.43,0,0,74,11,335,Technical Skills
9,63.5,365,14,5.72,26.07,27.36,1,0,38,4,202,Technical Skills
1,0.3,1,0,2,0,0,0,0,0,0,3,Tactics and Strategy
22,195.2,1110,41,5.68,27.07,28.59,0,1,129,27,679,Technical Skills
1,2,13,0,6.5,0,0,0,0,0,0,2,Technical Skills
6,59.4,342,10,5.73,34.2,35.8,0,0,30,8,206,Technical Skills
6,27.2,153,4,5.6,38.25,41,0,0,10,6,83,Technical Skills
22,101.1,447,18,4.42,24.83,33.72,1,0,14,9,298,Wicket-taking and Attack
5,21,101,2,4.81,50.5,63,0,0,6,3,60,Tactics and Strategy
14,100.5,461,16,4.57,28.81,37.81,1,0,45,5,400,Tactics and Strategy
3,21,124,1,5.9,124,126,0,0,11,5,63,Technical Skills
7,63,309,9,4.9,34.33,42,0,1,36,2,214,Tactics and Strategy
1,2,4,1,2,4,12,0,0,0,0,8,Tactics and Strategy
3,22.2,110,1,4.93,110,134,0,0,13,1,86,Tactics and Strategy
11,83.3,344,18,4.12,19.11,27.83,0,0,39,2,342,Wicket-taking and Attack
4,35,248,4,7.09,62,52.5,0,0,18,11,90,Technical Skills
8,64.2,321,18,4.99,17.83,21.44,2,0,35,6,245,Wicket-taking and Attack
5,6.3,34,1,5.23,34,39,0,0,3,0,17,Tactics and Strategy
9,32,120,4,3.75,30,48,0,0,5,1,111,Tactics and Strategy
1,5.2,22,2,4.12,11,16,0,0,2,0,19,Tactics and Strategy
6,51.5,208,16,4.01,13,19.44,0,2,22,3,216,Wicket-taking and Attack
4,28.3,135,4,4.74,33.75,42.75,0,0,18,2,111,Tactics and Strategy
3,7,52,0,7.43,0,0,0,0,7,1,19,Technical Skills
20,166.4,926,35,5.56,26.46,28.57,1,1,84,13,523,Technical Skills
4,30.1,177,7,5.87,25.29,25.86,0,0,22,3,110,Technical Skills
5,47.2,201,12,4.25,16.75,23.67,0,1,18,1,206,Tactics and Strategy
15,114.2,639,15,5.59,42.6,45.73,0,0,65,9,414,Technical Skills
6,54,299,9,5.54,33.22,36,1,0,21,6,153,Technical Skills
2,13,89,1,6.85,89,78,0,0,11,1,41,Technical Skills
2,16,55,4,3.44,13.75,24,0,0,4,2,69,Tactics and Strategy
8,58.3,233,10,3.98,23.3,35.1,0,0,20,4,217,Tactics and Strategy
20,165.4,617,36,3.72,17.14,27.61,1,1,59,9,714,Technical Skills
4,19.5,88,7,4.44,12.57,17,0,0,6,0,61,Tactics and Strategy
1,7,60,0,8.57,0,0,0,0,7,1,13,Technical Skills
1,8,60,0,7.5,0,0,0,0,6,1,14,Technical Skills
6,35,167,1,4.77,167,210,0,0,13,0,93,Tactics and Strategy
2,7,41,0,5.86,0,0,0,0,2,0,16,Technical Skills
8,74,442,12,5.97,36.83,37,1,0,33,14,218,Technical Skills
14,92.3,462,20,4.99,23.1,27.75,1,1,33,11,281,Wicket-taking and Attack
23,198.5,890,44,4.48,20.23,27.11,1,0,86,7,772,Technical Skills
